Team;M;W;D;L;G;GA;goal_difference;PTS;xG;goal_discrepancy;xGA;goal_suffered_discrepancy;xG_difference;xPTS;points_discrepancy
Juventus;38;26;9;3;72;24;48;87;59.08;-12.92;29.13;5.13;29.95;74.79;-12.21
Roma;38;19;13;6;54;31;23;70;50.85;-3.15;36.79;5.79;14.06;62.16;-7.84
Lazio;38;21;6;11;71;38;33;69;62;-9;35.87;-2.13;26.13;67.79;-1.21
Fiorentina;38;18;10;10;61;46;15;64;60.67;-0.33;48.5;2.5;12.17;61.11;-2.89
Napoli;38;18;9;11;70;54;16;63;64.5;-5.5;34.37;-19.63;30.13;70.72;7.72
Genoa;38;16;11;11;62;47;15;59;57.32;-4.68;60.37;13.37;-3.05;50.55;-8.45
Sampdoria;38;13;17;8;48;42;6;56;47.59;-0.41;48.37;6.37;-0.78;52.85;-3.15
Inter;38;14;13;11;59;48;11;55;57.17;-1.83;44.32;-3.68;12.85;60.8;5.8
Torino;38;14;12;12;48;45;3;54;51.78;3.78;42.69;-2.31;9.09;56.95;2.95
AC Milan;38;13;13;12;56;50;6;52;47.07;-8.93;53.99;3.99;-6.92;48.33;-3.67
Palermo;38;12;13;13;53;55;-2;49;54.97;1.97;44.01;-10.99;10.96;58.68;9.68
Sassuolo;38;12;13;13;49;57;-8;49;42.91;-6.09;55.19;-1.81;-12.28;44.1;-4.9
Verona;38;11;13;14;49;65;-16;46;46.88;-2.12;63.41;-1.59;-16.53;41.97;-4.03
Chievo;38;10;13;15;28;41;-13;43;33.01;5.01;48.99;7.99;-15.98;41.41;-1.59
Empoli;38;8;18;12;46;52;-6;42;49.66;3.66;43.42;-8.58;6.24;56.94;14.94
Udinese;38;10;11;17;43;56;-13;41;34.86;-8.14;54.75;-1.25;-19.89;37.46;-3.54
Atalanta;38;7;16;15;38;57;-19;37;40.94;2.94;59.4;2.4;-18.46;39.26;2.26
Cagliari;38;8;10;20;48;68;-20;34;53.92;5.92;54.17;-13.83;-0.25;53.05;19.05
Parma;38;6;8;24;33;75;-42;26;31.77;-1.23;60.74;-14.26;-28.97;31.52;5.52
Cesena;38;4;12;22;36;73;-37;24;34.62;-1.38;63.08;-9.92;-28.46;34.75;10.75
Chelsea;38;26;9;3;73;32;41;87;68.64;-4.36;31.52;-0.48;37.12;75.32;-11.68
Manchester City;38;24;7;7;83;38;45;79;75.82;-7.18;40.5;2.5;35.32;73.1;-5.9
Arsenal;38;22;9;7;71;36;35;75;69.8;-1.2;35.72;-0.28;34.08;75.17;0.17
Manchester United;38;20;10;8;62;37;25;70;54.21;-7.79;39.84;2.84;14.37;63.03;-6.97
Tottenham;38;19;7;12;58;53;5;64;52.39;-5.61;57.04;4.04;-4.65;48.94;-15.06
Liverpool;38;18;8;12;52;48;4;62;51.7;-0.3;38.25;-9.75;13.45;61.17;-0.83
Southampton;38;18;6;14;54;33;21;60;54.97;0.97;39.11;6.11;15.86;62.82;2.82
