Team;M;W;D;L;G;GA;goal_difference;PTS;xG;goal_discrepancy;xGA;goal_suffered_discrepancy;xG_difference;xPTS;points_discrepancy
Nice;38;15;11;12;30;35;-5;56;43.45;13.45;49.73;14.73;-6.28;48.16;-7.84
Reims;38;13;16;9;39;42;-3;55;37.12;-1.88;42.28;0.28;-5.16;48.22;-6.78
Nimes;38;15;8;15;57;58;-1;53;48.5;-8.5;55.47;-2.53;-6.97;49.9;-3.1
Rennes;38;13;13;12;55;52;3;52;56.05;1.05;46.19;-5.81;9.86;59.93;7.93
Strasbourg;38;11;16;11;58;48;10;49;40.59;-17.41;48.51;0.51;-7.92;46.48;-2.52
Nantes;38;13;9;16;48;48;0;48;48.04;0.04;47.3;-0.7;0.74;54.62;6.62
Angers;38;10;16;12;44;49;-5;46;47.5;3.5;46.31;-2.69;1.19;53.21;7.21
Bordeaux;38;10;11;17;34;42;-8;41;37.27;3.27;52.19;10.19;-14.92;41.37;0.37
Amiens;38;9;11;18;31;52;-21;38;34.63;3.63;46.76;-5.24;-12.13;42.34;4.34
Toulouse;38;8;14;16;35;57;-22;38;42.73;7.73;56.42;-0.58;-13.69;43.98;5.98
Monaco;38;8;12;18;38;57;-19;36;46.49;8.49;48.76;-8.24;-2.27;51.27;15.27
Dijon;38;9;7;22;31;60;-29;34;36.13;5.13;57.61;-2.39;-21.48;37.47;3.47
Caen;38;7;12;19;29;54;-25;33;26.97;-2.03;61.09;7.09;-34.12;30.24;-2.76
Guingamp;38;5;12;21;28;68;-40;27;39.46;11.46;54.94;-13.06;-15.48;44.12;17.12
