Team;M;W;D;L;G;GA;goal_difference;PTS;xG;goal_discrepancy;xGA;goal_suffered_discrepancy;xG_difference;xPTS;points_discrepancy
Juventus;38;30;5;3;86;24;62;95;59.23;-26.77;28.58;4.58;30.65;73.51;-21.49
Napoli;38;28;7;3;77;29;48;91;70.45;-6.55;25.27;-3.73;45.18;82.23;-8.77
Roma;38;23;8;7;61;28;33;77;65.63;4.63;38.46;10.46;27.17;69.24;-7.76
Lazio;38;21;9;8;89;49;40;72;66.51;-22.49;42.57;-6.43;23.94;66.05;-5.95
Inter;38;20;12;6;66;30;36;72;60.83;-5.17;37.33;7.33;23.5;65.25;-6.75
AC Milan;38;18;10;10;56;42;14;64;50.88;-5.12;36.78;-5.22;14.1;62.35;-1.65
Atalanta;38;16;12;10;57;39;18;60;64.29;7.29;36.5;-2.5;27.79;69.88;9.88
Fiorentina;38;16;9;13;54;46;8;57;54.12;0.12;42.15;-3.85;11.97;60.41;3.41
Torino;38;13;15;10;54;46;8;54;46.59;-7.41;49.11;3.11;-2.52;51.84;-2.16
Sampdoria;38;16;6;16;56;60;-4;54;53.14;-2.86;62.26;2.26;-9.12;46.87;-7.13
Sassuolo;38;11;10;17;29;59;-30;43;47.15;18.15;50.63;-8.37;-3.48;51.7;8.7
Genoa;38;11;8;19;33;43;-10;41;42.21;9.21;42.87;-0.13;-0.66;50.38;9.38
Udinese;38;12;4;22;48;63;-15;40;45.17;-2.83;50.63;-12.37;-5.46;47.37;7.37
Chievo;38;10;10;18;36;59;-23;40;34.34;-1.66;55.26;-3.74;-20.92;38.61;-1.39
Bologna;38;11;6;21;40;52;-12;39;36.11;-3.89;48.8;-3.2;-12.69;43.01;4.01
Cagliari;38;11;6;21;33;61;-28;39;38.27;5.27;57.91;-3.09;-19.64;40.41;1.41
SPAL 2013;38;8;14;16;39;59;-20;38;34.61;-4.39;60.18;1.18;-25.57;35.41;-2.59
Crotone;38;9;8;21;40;66;-26;35;33.24;-6.76;59.43;-6.57;-26.19;35.44;0.44
Verona;38;7;4;27;30;78;-48;25;33.76;3.76;72.71;-5.29;-38.95;31.06;6.06
Benevento;38;6;3;29;33;84;-51;21;38.21;5.21;77.31;-6.69;-39.1;30.09;9.09
Manchester City;38;32;4;2;106;27;79;100;91.43;-14.57;24.51;-2.49;66.92;91.09;-8.91
Manchester United;38;25;6;7;68;28;40;81;59.04;-8.96;43.54;15.54;15.5;62.33;-18.67
Tottenham;38;23;8;7;74;36;38;77;68.91;-5.09;35.86;-0.14;33.05;76.02;-0.98
Liverpool;38;21;12;5;84;38;46;75;77.49;-6.51;35.75;-2.25;41.74;79.38;4.38
Chelsea;38;21;7;10;62;38;24;70;59.16;-2.84;34.03;-3.97;25.13;68.46;-1.54
Arsenal;38;19;6;13;74;51;23;63;72.27;-1.73;48.75;-2.25;23.52;65.9;2.9
Burnley;38;14;12;12;36;39;-3;54;32.77;-3.23;52.16;13.16;-19.39;41;-13
Everton;38;13;10;15;44;58;-14;49;43.71;-0.29;55.5;-2.5;-11.79;47;-2
Leicester;38;12;11;15;56;60;-4;47;50.29;-5.71;49.36;-10.64;0.93;55.85;8.85
Newcastle United;38;12;8;18;39;47;-8;44;44.63;5.63;52.47;5.47;-7.84;46.24;2.24
Crystal Palace;38;11;11;16;45;55;-10;44;56.75;11.75;53.54;-1.46;3.21;58.03;14.03
Bournemouth;38;11;11;16;45;61;-16;44;39.99;-5.01;64.93;3.93;-24.94;37.64;-6.36
West Ham;38;10;12;16;48;68;-20;42;36.8;-11.2;58.37;-9.63;-21.57;39.26;-2.74
Watford;38;11;8;19;44;64;-20;41;45.85;1.85;53.98;-10.02;-8.13;46.69;5.69
Brighton;38;9;13;16;34;54;-20;40;37.21;3.21;53.08;-0.92;-15.87;40.85;0.85
Huddersfield;38;9;10;19;28;58;-30;37;32.13;4.13;53.22;-4.78;-21.09;36.84;-0.16
Southampton;38;7;15;16;37;56;-19;36;41.88;4.88;46.56;-9.44;-4.68;48.72;12.72
Swansea;38;8;9;21;28;56;-28;33;29.71;1.71;61.83;5.83;-32.12;32.31;-0.69
Stoke;38;7;12;19;35;68;-33;33;36.75;1.75;65.54;-2.46;-28.79;36.17;3.17
West Bromwich Albion;38;6;13;19;31;56;-25;31;35.18;4.18;48.99;-7.01;-13.81;42.96;11.96
Barcelona;38;28;9;1;99;29;70;93;90.49;-8.51;41.62;12.62;48.87;79.44;-13.56
Atletico Madrid;38;23;10;5;58;22;36;79;50.29;-7.71;35.48;13.48;14.81;61.6;-17.4
Real Madrid;38;22;10;6;94;44;50;76;91.29;-2.71;45.1;1.1;46.19;79.99;3.99
Valencia;38;22;7;9;65;38;27;73;57.76;-7.24;47.89;9.89;9.87;58.23;-14.77
Villarreal;38;18;7;13;57;50;7;61;55.67;-1.33;54.24;4.24;1.43;54.96;-6.04
Real Betis;38;18;6;14;60;61;-1;60;46.72;-13.28;49.76;-11.24;-3.04;50.51;-9.49
Sevilla;38;17;7;14;49;58;-9;58;61.49;12.49;54.03;-3.97;7.46;58.61;0.61
Getafe;38;15;10;13;42;33;9;55;49.03;7.03;39.65;6.65;9.38;57.53;2.53
Eibar;38;14;9;15;44;50;-6;51;41.42;-2.58;45.53;-4.47;-4.11;50.79;-0.21
Girona;38;14;9;15;50;59;-9;51;52.1;2.1;51.6;-7.4;0.5;53.03;2.03
Real Sociedad;38;14;7;17;66;59;7;49;56.35;-9.65;51.13;-7.87;5.22;55.84;6.84
Celta Vigo;38;13;10;15;59;60;-1;49;54.59;-4.41;57.68;-2.32;-3.09;48.83;-0.17
Espanyol;38;12;13;13;36;42;-6;49;41.58;5.58;53.37;11.37;-11.79;44.68;-4.32
Alaves;38;15;2;21;40;50;-10;47;37.88;-2.12;58.2;8.2;-20.32;39.03;-7.97
Levante;38;11;13;14;44;58;-14;46;44.2;0.2;65.12;7.12;-20.92;41.82;-4.18
Athletic Club;38;10;13;15;41;49;-8;43;51.79;10.79;50.71;1.71;1.08;54.13;11.13
Leganes;38;12;7;19;34;51;-17;43;39.26;5.26;48.77;-2.23;-9.51;44.58;1.58
Deportivo La Coruna;38;6;11;21;38;76;-38;29;49.78;11.78;60.87;-15.13;-11.09;49.16;20.16
Las Palmas;38;5;7;26;24;74;-50;22;37.88;13.88;74.43;0.43;-36.55;31.05;9.05
Malaga;38;5;5;28;24;61;-37;20;35.88;11.88;60.24;-0.76;-24.36;35.83;15.83
Bayern Munich;34;27;3;4;92;28;64;84;76.55;-15.45;30.64;2.64;45.91;73.52;-10.48
Schalke 04;34;18;9;7;53;37;16;63;46.83;-6.17;39.42;2.42;7.41;51.69;-11.31
Hoffenheim;34;15;10;9;66;48;18;55;50.72;-15.28;45.2;-2.8;5.52;49.86;-5.14
Borussia Dortmund;34;15;10;9;64;47;17;55;66.1;2.1;40.86;-6.14;25.24;63.16;8.16
Bayer Leverkusen;34;15;10;9;58;44;14;55;56.98;-1.02;36.92;-7.08;20.06;61.54;6.54
RasenBallsport Leipzig;34;15;8;11;57;53;4;53;51.42;-5.58;47.42;-5.58;4;48.47;-4.53
VfB Stuttgart;34;15;6;13;36;36;0;51;37.91;1.91;39.35;3.35;-1.44;46.67;-4.33
Eintracht Frankfurt;34;14;7;13;45;45;0;49;41.06;-3.94;40.91;-4.09;0.15;47.19;-1.81
Borussia M.Gladbach;34;13;8;13;47;52;-5;47;51.25;4.25;52.09;0.09;-0.84;48.93;1.93
Hertha Berlin;34;10;13;11;43;46;-3;43;38.58;-4.42;44.71;-1.29;-6.13;41.89;-1.11
Werder Bremen;34;10;12;12;37;40;-3;42;38.51;1.51;43.47;3.47;-4.96;42.7;0.7
Augsburg;34;10;11;13;43;46;-3;41;42.26;-0.74;40.82;-5.18;1.44;45.9;4.9
Hannover 96;34;10;9;15;44;54;-10;39;41.22;-2.78;54.36;0.36;-13.14;39.58;0.58
Mainz 05;34;9;9;16;38;52;-14;36;31.65;-6.35;45.18;-6.82;-13.53;37.92;1.92
Freiburg;34;8;12;14;32;56;-24;36;36.98;4.98;45.66;-10.34;-8.68;40.82;4.82
Wolfsburg;34;6;15;13;36;48;-12;33;32.11;-3.89;49.43;1.43;-17.32;34.8;1.8
Hamburger SV;34;8;7;19;29;53;-24;31;36.04;7.04;54.06;1.06;-18.02;38.59;7.59
FC Cologne;34;5;7;22;35;70;-35;22;41.5;6.5;67.17;-2.83;-25.67;32.18;10.18
Paris Saint Germain;38;29;6;3;108;29;79;93;89.92;-18.08;32.1;3.1;57.82;84.61;-8.39
Monaco;38;24;8;6;85;45;40;80;62.41;-22.59;45.27;0.27;17.14;65.15;-14.85
Lyon;38;23;9;6;87;43;44;78;65.27;-21.73;37.09;-5.91;28.18;70.04;-7.96
Marseille;38;22;11;5;80;47;33;77;82.2;2.2;41.17;-5.83;41.03;77.22;0.22
Rennes;38;16;10;12;50;44;6;58;46.97;-3.03;49.14;5.14;-2.17;52.97;-5.03
Bordeaux;38;16;7;15;53;48;5;55;52.56;-0.44;41.38;-6.62;11.18;59;4
Saint-Etienne;38;15;10;13;47;50;-3;55;51.03;4.03;53.26;3.26;-2.23;51.58;-3.42
Nice;38;15;9;14;53;52;1;54;47.36;-5.64;45.9;-6.1;1.46;53.88;-0.12
Nantes;38;14;10;14;36;41;-5;52;39.8;3.8;36.26;-4.74;3.54;55.95;3.95
Montpellier;38;11;18;9;36;33;3;51;39.81;3.81;37.93;4.93;1.88;52.94;1.94
Dijon;38;13;9;16;55;73;-18;48;40.03;-14.97;62.95;-10.05;-22.92;38.61;-9.39
Guingamp;38;12;11;15;48;59;-11;47;41.86;-6.14;50.51;-8.49;-8.65;45.97;-1.03
Amiens;38;12;9;17;37;42;-5;45;31.47;-5.53;51.7;9.7;-20.23;38.94;-6.06
Angers;38;9;14;15;42;52;-10;41;46.15;4.15;45.19;-6.81;0.96;52.39;11.39
Strasbourg;38;9;11;18;44;67;-23;38;43.27;-0.73;58.33;-8.67;-15.06;43.76;5.76
Caen;38;10;8;20;27;52;-25;38;41.17;14.17;47.83;-4.17;-6.66;48.04;10.04
Lille;38;10;8;20;41;67;-26;38;36.13;-4.87;59.37;-7.63;-23.24;35.26;-2.74
Toulouse;38;9;10;19;38;54;-16;37;43.29;5.29;54.45;0.45;-11.16;47.2;10.2
Troyes;38;9;6;23;32;59;-27;33;37.13;5.13;52.47;-6.53;-15.34;43.55;10.55
Metz;38;6;8;24;34;76;-42;26;36.4;2.4;71.93;-4.07;-35.53;31.48;5.48
