Team;M;W;D;L;G;GA;goal_difference;PTS;xG;goal_discrepancy;xGA;goal_suffered_discrepancy;xG_difference;xPTS;points_discrepancy
Juventus;38;29;4;5;75;20;55;91;62.99;-12.01;23.00;3.00;39.99;78.74;-12.26
Napoli;38;25;7;6;80;32;48;82;69.53;-10.47;26.69;-5.31;42.84;79.07;-2.93
Roma;38;23;11;4;83;41;42;80;64.43;-18.57;39.79;-1.21;24.64;69.85;-10.15
Inter;38;20;7;11;50;38;12;67;54.30;4.30;44.25;6.25;10.05;58.84;-8.16
Fiorentina;38;18;10;10;60;42;18;64;53.19;-6.81;36.22;-5.78;16.97;63.31;-0.69
Sassuolo;38;16;13;9;49;40;9;61;47.32;-1.68;42.93;2.93;4.39;53.62;-7.38
AC Milan;38;15;12;11;49;43;6;57;53.91;4.91;40.91;-2.09;13;60.29;3.29
Lazio;38;15;9;14;52;52;0;54;55.21;3.21;43.58;-8.42;11.63;59.99;5.99
Chievo;38;13;11;14;43;45;-2;50;40.59;-2.41;51.09;6.09;-10.5;45.91;-4.09
Genoa;38;13;7;18;45;48;-3;46;45.29;0.29;48.63;0.63;-3.34;48.63;2.63
Empoli;38;12;10;16;40;49;-9;46;37.84;-2.16;47.51;-1.49;-9.67;44.41;-1.59
Torino;38;12;9;17;52;55;-3;45;49.42;-2.58;41.29;-13.71;8.13;57.52;12.52
Atalanta;38;11;12;15;41;47;-6;45;46.08;5.08;51.41;4.41;-5.33;49.42;4.42
Bologna;38;11;9;18;33;45;-12;42;35.48;2.48;51.84;6.84;-16.36;41.54;-0.46
Sampdoria;38;10;10;18;48;61;-13;40;40.53;-7.47;66.19;5.19;-25.66;36.56;-3.44
Udinese;38;10;9;19;35;60;-25;39;46.31;11.31;51.42;-8.58;-5.11;48.73;9.73
Palermo;38;10;9;19;38;65;-27;39;36.55;-1.45;61.84;-3.16;-25.29;35.26;-3.74
Carpi;38;9;11;18;37;57;-20;38;43.37;6.37;51.80;-5.20;-8.43;45.19;7.19
Frosinone;38;8;7;23;35;76;-41;31;33.84;-1.16;74.23;-1.77;-40.39;29.38;-1.62
Verona;38;5;13;20;34;63;-29;28;40.17;6.17;61.71;-1.29;-21.54;38.87;10.87
Leicester;38;23;12;3;68;36;32;81;68.42;0.42;45.02;9.02;23.4;68.94;-12.06
Arsenal;38;20;11;7;65;36;29;71;73.53;8.53;33.86;-2.14;39.67;77.01;6.01
Tottenham;38;19;13;6;69;35;34;70;63.42;-5.58;37.08;2.08;26.34;69.43;-0.57
Manchester City;38;19;9;10;71;41;30;66;66.20;-4.80;37.47;-3.53;28.73;70.14;4.14
Manchester United;38;19;9;10;49;35;14;66;45.42;-3.58;39.66;4.66;5.76;56.44;-9.56
Southampton;38;18;9;11;59;41;18;63;56.20;-2.80;44.29;3.29;11.91;61.08;-1.92
West Ham;38;16;14;8;65;51;14;62;54.40;-10.60;55.48;4.48;-1.08;49.80;-12.20
Liverpool;38;16;12;10;63;50;13;60;54.37;-8.63;37.88;-12.12;16.49;63.29;3.29
Stoke;38;14;9;15;41;55;-14;51;42.63;1.63;54.35;-0.65;-11.72;48.30;-2.70
Chelsea;38;12;14;12;59;53;6;50;54.48;-4.52;44.63;-8.37;9.85;59.62;9.62
Everton;38;11;14;13;59;55;4;47;53.98;-5.02;54.75;-0.25;-0.77;52.69;5.69
Swansea;38;12;11;15;42;52;-10;47;39.96;-2.04;53.63;1.63;-13.67;42.40;-4.60
Watford;38;12;9;17;40;50;-10;45;43.20;3.20;51.85;1.85;-8.65;48.25;3.25
West Bromwich Albion;38;10;13;15;34;48;-14;43;39.75;5.75;51.94;3.94;-12.19;42.30;-0.70
Crystal Palace;38;11;9;18;39;51;-12;42;42.51;3.51;52.94;1.94;-10.43;44.89;2.89
Bournemouth;38;11;9;18;45;67;-22;42;38.71;-6.29;53.97;-13.03;-15.26;43.74;1.74
Sunderland;38;9;12;17;48;62;-14;39;40.52;-7.48;58.85;-3.15;-18.33;40.52;1.52
Newcastle United;38;9;10;19;44;65;-21;37;37.61;-6.39;55.42;-9.58;-17.81;40.21;3.21
Norwich;38;9;7;22;39;67;-28;34;39.19;0.19;58.93;-8.07;-19.74;39.18;5.18
Aston Villa;38;3;8;27;27;76;-49;17;26.53;-0.47;59.01;-16.99;-32.48;29.83;12.83
Barcelona;38;29;4;5;112;29;83;91;113.60;1.60;34.03;5.03;79.57;94.38;3.38
Real Madrid;38;28;6;4;110;34;76;90;90.45;-19.55;45.23;11.23;45.22;79.09;-10.91
Atletico Madrid;38;28;4;6;63;18;45;88;54.93;-8.07;27.80;9.80;27.13;72.28;-15.72
Villarreal;38;18;10;10;44;35;9;64;40.49;-3.51;41.63;6.63;-1.14;52.11;-11.89
Athletic Club;38;18;8;12;58;45;13;62;53.90;-4.10;45.33;0.33;8.57;58.24;-3.76
Celta Vigo;38;17;9;12;51;59;-8;60;50.20;-0.80;51.98;-7.02;-1.78;53.08;-6.92
Sevilla;38;14;10;14;51;50;1;52;62.97;11.97;46.09;-3.91;16.88;63.64;11.64
Malaga;38;12;12;14;38;35;3;48;45.75;7.75;45.25;10.25;0.5;53.08;5.08
Real Sociedad;38;13;9;16;45;48;-3;48;47.95;2.95;48.04;0.04;-0.09;52.75;4.75
