Team;M;W;D;L;G;GA;goal_difference;PTS;xG;goal_discrepancy;xGA;goal_suffered_discrepancy;xG_difference;xPTS;points_discrepancy
Real Betis;38;11;12;15;34;52;-18;45;40.11;6.11;64.39;12.39;-24.28;40.49;-4.51
Valencia;38;11;11;16;46;48;-2;44;50.51;4.51;61.69;13.69;-11.18;46.73;2.73
Las Palmas;38;12;8;18;45;53;-8;44;38.68;-6.32;59.24;6.24;-20.56;41.18;-2.82
Eibar;38;11;10;17;49;61;-12;43;52.92;3.92;50.58;-10.42;2.34;54.03;11.03
Espanyol;38;12;7;19;40;74;-34;43;46.09;6.09;60.84;-13.16;-14.75;43.15;0.15
Deportivo La Coruna;38;8;18;12;45;61;-16;42;43.75;-1.25;52.37;-8.63;-8.62;46.08;4.08
Sporting Gijon;38;10;9;19;40;62;-22;39;42.57;2.57;60.62;-1.38;-18.05;40.61;1.61
Granada;38;10;9;19;46;69;-23;39;41.35;-4.65;62.37;-6.63;-21.02;38.50;-0.50
Rayo Vallecano;38;9;11;18;52;73;-21;38;52.26;0.26;65.09;-7.91;-12.83;45.78;7.78
Getafe;38;9;9;20;37;67;-30;36;41.77;4.77;63.35;-3.65;-21.58;40.88;4.88
Levante;38;8;8;22;37;70;-33;32;39.22;2.22;63.55;-6.45;-24.33;37.33;5.33
Bayern Munich;34;28;4;2;80;17;63;88;77.04;-2.96;20.79;3.79;56.25;77.97;-10.03
Borussia Dortmund;34;24;6;4;82;34;48;78;83.41;1.41;29.18;-4.82;54.23;76.58;-1.42
Bayer Leverkusen;34;18;6;10;56;40;16;60;52.91;-3.09;41.24;1.24;11.67;56.66;-3.34
Borussia M.Gladbach;34;17;4;13;67;50;17;55;53.67;-13.33;49.07;-0.93;4.6;50.06;-4.94
Schalke 04;34;15;7;12;51;49;2;52;47.13;-3.87;47.88;-1.12;-0.75;45.62;-6.38
Mainz 05;34;14;8;12;46;42;4;50;47.91;1.91;47.27;5.27;0.64;46.67;-3.33
Hertha Berlin;34;14;8;12;42;42;0;50;35.90;-6.10;43.94;1.94;-8.04;44.16;-5.84
Wolfsburg;34;12;9;13;47;49;-2;45;49.49;2.49;41.62;-7.38;7.87;52.38;7.38
FC Cologne;34;10;13;11;38;42;-4;43;42.87;4.87;44.43;2.43;-1.56;46.63;3.63
Hamburger SV;34;11;8;15;40;46;-6;41;38.75;-1.25;51.19;5.19;-12.44;38.62;-2.38
Ingolstadt;34;10;10;14;33;42;-9;40;41.02;8.02;45.82;3.82;-4.8;42.93;2.93
Augsburg;34;9;11;14;42;52;-10;38;42.39;0.39;55.65;3.65;-13.26;41.18;3.18
Werder Bremen;34;10;8;16;50;65;-15;38;50.12;0.12;51.80;-13.20;-1.68;47.76;9.76
Darmstadt;34;9;11;14;38;53;-15;38;39.03;1.03;51.06;-1.94;-12.03;39.47;1.47
Hoffenheim;34;9;10;15;39;54;-15;37;39.55;0.55;60.41;6.41;-20.86;36.17;-0.83
Eintracht Frankfurt;34;9;9;16;34;52;-18;36;32.95;-1.05;54.31;2.31;-21.36;33.53;-2.47
VfB Stuttgart;34;9;6;19;50;75;-25;33;57.70;7.70;65.06;-9.94;-7.36;45.48;12.48
Hannover 96;34;7;4;23;31;62;-31;25;32.43;1.43;63.58;1.58;-31.15;26.46;1.46
Paris Saint Germain;38;30;6;2;102;19;83;96;86.20;-15.80;24.37;5.37;61.83;90.27;-5.73
Lyon;38;19;8;11;67;43;24;65;63.01;-3.99;38.01;-4.99;25;68.69;3.69
Monaco;38;17;14;7;57;50;7;65;58.13;1.13;48.81;-1.19;9.32;59.39;-5.61
Nice;38;18;9;11;58;41;17;63;45.23;-12.77;47.71;6.71;-2.48;51.99;-11.01
Lille;38;15;15;8;39;27;12;60;41.69;2.69;35.79;8.79;5.9;55.97;-4.03
Saint-Etienne;38;17;7;14;42;37;5;58;45.46;3.46;44.66;7.66;0.8;53.63;-4.37
Caen;38;16;6;16;39;52;-13;54;43.90;4.90;49.69;-2.31;-5.79;49.48;-4.52
Rennes;38;13;13;12;52;54;-2;52;42.91;-9.09;47.02;-6.98;-4.11;49.63;-2.37
Angers;38;13;11;14;40;38;2;50;36.58;-3.42;41.02;3.02;-4.44;46.15;-3.85
SC Bastia;38;14;8;16;36;42;-6;50;29.51;-6.49;48.36;6.36;-18.85;37.83;-12.17
Bordeaux;38;12;14;12;50;57;-7;50;46.36;-3.64;48.67;-8.33;-2.31;51.48;1.48
Montpellier;38;14;7;17;49;47;2;49;43.14;-5.86;44.33;-2.67;-1.19;52.08;3.08
Marseille;38;10;18;10;48;42;6;48;48.89;0.89;42.67;0.67;6.22;55.47;7.47
Nantes;38;12;12;14;33;44;-11;48;36.40;3.40;42.44;-1.56;-6.04;48.85;0.85
Lorient;38;11;13;14;47;58;-11;46;42.31;-4.69;52.31;-5.69;-10;45.76;-0.24
Guingamp;38;11;11;16;47;56;-9;44;41.35;-5.65;46.27;-9.73;-4.92;48.87;4.87
Toulouse;38;9;13;16;45;55;-10;40;50.33;5.33;39.80;-15.20;10.53;59.16;19.16
Reims;38;10;9;19;44;57;-13;39;42.87;-1.13;52.92;-4.08;-10.05;46.13;7.13
GFC Ajaccio;38;8;13;17;37;58;-21;37;32.52;-4.48;45.26;-12.74;-12.74;41.96;4.96
Troyes;38;3;9;26;28;83;-55;18;36.59;8.59;73.28;-9.72;-36.69;28.85;10.85
