Team;M;W;D;L;G;GA;goal_difference;PTS;xG;goal_discrepancy;xGA;goal_suffered_discrepancy;xG_difference;xPTS;points_discrepancy
Crystal Palace;38;11;10;17;31;50;-19;43;34.45;3.45;57.39;7.39;-22.94;38.26;-4.74
Brighton;38;9;14;15;39;54;-15;41;47.42;8.42;60.42;6.42;-13;48.02;7.02
West Ham;38;10;9;19;49;62;-13;39;49.07;0.07;68.32;6.32;-19.25;38.75;-0.25
Aston Villa;38;9;8;21;41;67;-26;35;45.09;4.09;71.6;4.6;-26.51;37.23;2.23
Bournemouth;38;9;7;22;40;65;-25;34;44.67;4.67;63.29;-1.71;-18.62;39.2;5.2
Watford;38;8;10;20;36;64;-28;34;48.56;12.56;59.53;-4.47;-10.97;47.87;13.87
Norwich;38;5;6;27;26;75;-49;21;37.23;11.23;71.61;-3.39;-34.38;33.12;12.12
Real Madrid;38;26;9;3;70;25;45;87;72.16;2.16;33.15;8.15;39.01;77.69;-9.31
Barcelona;38;25;7;6;86;38;48;82;72.01;-13.99;37.82;-0.18;34.19;73.14;-8.86
Atletico Madrid;38;18;16;4;51;27;24;70;58.7;7.7;31.52;4.52;27.18;72.35;2.35
Sevilla;38;19;13;6;54;34;20;70;55.16;1.16;36.62;2.62;18.54;65.71;-4.29
Villarreal;38;18;6;14;63;49;14;60;65.61;2.61;48.59;-0.41;17.02;64.05;4.05
Real Sociedad;38;16;8;14;56;48;8;56;50.92;-5.08;41.89;-6.11;9.03;57.18;1.18
Granada;38;16;8;14;52;45;7;56;45.02;-6.98;43.44;-1.56;1.58;52.6;-3.4
Getafe;38;14;12;12;43;37;6;54;45.19;2.19;43.02;6.02;2.17;53.79;-0.21
Valencia;38;14;11;13;46;53;-7;53;45.58;-0.42;59.07;6.07;-13.49;45.43;-7.57
Osasuna;38;13;13;12;46;54;-8;52;49.04;3.04;49.58;-4.42;-0.54;51.51;-0.49
Athletic Club;38;13;12;13;41;38;3;51;42.1;1.1;52.42;14.42;-10.32;44.65;-6.35
Levante;38;14;7;17;47;53;-6;49;49.43;2.43;64.25;11.25;-14.82;42.88;-6.12
Real Valladolid;38;9;15;14;32;43;-11;42;35.66;3.66;53.94;10.94;-18.28;39.38;-2.62
Eibar;38;11;9;18;39;56;-17;42;42.35;3.35;54.33;-1.67;-11.98;42.91;0.91
Real Betis;38;10;11;17;48;60;-12;41;48.9;0.9;56.3;-3.7;-7.4;47.94;6.94
Alaves;38;10;9;19;34;59;-25;39;38.15;4.15;57.93;-1.07;-19.78;40.98;1.98
Celta Vigo;38;7;16;15;37;49;-12;37;40.44;3.44;44.83;-4.17;-4.39;47.26;10.26
Leganes;38;8;12;18;30;51;-21;36;38.92;8.92;45.62;-5.38;-6.7;48.92;12.92
Mallorca;38;9;6;23;40;65;-25;33;40.46;0.46;65.17;0.17;-24.71;35.36;2.36
Espanyol;38;5;10;23;27;58;-31;25;37;10;53.28;-4.72;-16.28;41.76;16.76
Bayern Munich;34;26;4;4;100;32;68;82;92.85;-7.15;36.47;4.47;56.38;77.33;-4.67
Borussia Dortmund;34;21;6;7;84;41;43;69;64.26;-19.74;42.02;1.02;22.24;62.48;-6.52
RasenBallsport Leipzig;34;18;12;4;81;37;44;66;76.13;-4.87;37.58;0.58;38.55;68.71;2.71
Borussia M.Gladbach;34;20;5;9;66;40;26;65;73.58;7.58;46.05;6.05;27.53;62.63;-2.37
Bayer Leverkusen;34;19;6;9;61;44;17;63;61.88;0.88;49.68;5.68;12.2;54.62;-8.38
Hoffenheim;34;15;7;12;53;53;0;52;56.66;3.66;58.75;5.75;-2.09;45.87;-6.13
Wolfsburg;34;13;10;11;48;46;2;49;54.43;6.43;41.91;-4.09;12.52;55.69;6.69
Freiburg;34;13;9;12;48;47;1;48;46.14;-1.86;63.37;16.37;-17.23;39.15;-8.85
Eintracht Frankfurt;34;13;6;15;59;60;-1;45;58.33;-0.67;50.93;-9.07;7.4;52.72;7.72
Hertha Berlin;34;11;8;15;48;59;-11;41;44.3;-3.7;55.58;-3.42;-11.28;39.55;-1.45
Union Berlin;34;12;5;17;41;58;-17;41;41.58;0.58;54.94;-3.06;-13.36;39.32;-1.68
Schalke 04;34;9;12;13;38;58;-20;39;35.93;-2.07;54.22;-3.78;-18.29;35.84;-3.16
Mainz 05;34;11;4;19;44;65;-21;37;46.19;2.19;62.9;-2.1;-16.71;39.15;2.15
FC Cologne;34;10;6;18;51;69;-18;36;49.28;-1.72;54.54;-14.46;-5.26;43.89;7.89
Augsburg;34;9;9;16;45;63;-18;36;43.86;-1.14;59.12;-3.88;-15.26;39.78;3.78
Werder Bremen;34;8;7;19;42;69;-27;31;37.74;-4.26;56.94;-12.06;-19.2;35.12;4.12
Fortuna Duesseldorf;34;6;12;16;36;67;-31;30;35.69;-0.31;64.45;-2.55;-28.76;32.87;2.87
Paderborn;34;4;8;22;37;74;-37;20;38.47;1.47;67.83;-6.17;-29.36;28.67;8.67
Paris Saint Germain;27;22;2;3;75;24;51;68;76.42;1.42;22.43;-1.57;53.99;65.68;-2.32
Marseille;28;16;8;4;41;29;12;56;36.42;-4.58;32.05;3.05;4.37;41.73;-14.27
Rennes;28;15;5;8;38;24;14;50;34.37;-3.63;28.15;4.15;6.22;41.18;-8.82
Lille;28;15;4;9;35;27;8;49;40.81;5.81;30.17;3.17;10.64;47.12;-1.88
Reims;28;10;11;7;26;21;5;41;28.93;2.93;26.47;5.47;2.46;40.42;-0.58
Nice;28;11;8;9;41;38;3;41;36.45;-4.55;42.69;4.69;-6.24;35.62;-5.38
Lyon;28;11;7;10;42;27;15;40;36.24;-5.76;24.73;-2.27;11.51;46.34;6.34
Montpellier;28;11;7;10;35;34;1;40;34.95;-0.05;32.26;-1.74;2.69;40.05;0.05
Monaco;28;11;7;10;44;44;0;40;48.55;4.55;41.06;-2.94;7.49;42.47;2.47
Angers;28;11;6;11;28;33;-5;39;27.1;-0.9;28.15;-4.85;-1.05;37.49;-1.51
Strasbourg;27;11;5;11;32;32;0;38;34.56;2.56;33.46;1.46;1.1;37.74;-0.26
Bordeaux;28;9;10;9;40;34;6;37;30.47;-9.53;35.2;1.2;-4.73;37.06;0.06
Nantes;28;11;4;13;28;31;-3;37;27.81;-0.19;30.26;-0.74;-2.45;35.91;-1.09
Brest;28;8;10;10;34;37;-3;34;30.05;-3.95;44.11;7.11;-14.06;30.64;-3.36
Metz;28;8;10;10;27;35;-8;34;24.65;-2.35;36.54;1.54;-11.89;29.04;-4.96
Dijon;28;7;9;12;27;37;-10;30;27.38;0.38;39.3;2.3;-11.92;31.19;1.19
Saint-Etienne;28;8;6;14;29;45;-16;30;29.65;0.65;37.73;-7.27;-8.08;32.68;2.68
Nimes;28;7;6;15;29;44;-15;27;30.19;1.19;40.47;-3.53;-10.28;32.69;5.69
Amiens;28;4;11;13;31;50;-19;23;25.62;-5.38;38.43;-11.57;-12.81;32.84;9.84
Toulouse;28;3;4;21;22;58;-36;13;31.29;9.29;48.28;-9.72;-16.99;28.01;15.01
