Team;M;W;D;L;G;GA;goal_difference;PTS;xG;goal_discrepancy;xGA;goal_suffered_discrepancy;xG_difference;xPTS;points_discrepancy
Juventus;38;26;5;7;76;43;33;83;73.77;-2.23;41;-2;32.77;71.24;-11.76
Inter;38;24;10;4;81;36;45;82;73.95;-7.05;39.36;3.36;34.59;75.38;-6.62
Atalanta;38;23;9;6;98;48;50;78;86.17;-11.83;41.73;-6.27;44.44;76.01;-1.99
Lazio;38;24;6;8;79;42;37;78;67.55;-11.45;52.33;10.33;15.22;62.18;-15.82
Roma;38;21;7;10;77;51;26;70;78.32;1.32;49.15;-1.85;29.17;70.26;0.26
AC Milan;38;19;9;10;63;46;17;66;65.27;2.27;46.42;0.42;18.85;65.47;-0.53
Napoli;38;18;8;12;61;50;11;62;63.88;2.88;43.17;-6.83;20.71;66.49;4.49
Sassuolo;38;14;9;15;69;63;6;51;53.42;-15.58;65.07;2.07;-11.65;46.17;-4.83
Fiorentina;38;12;13;13;51;48;3;49;53.49;2.49;50.3;2.3;3.19;54.92;5.92
Parma Calcio 1913;38;14;7;17;56;57;-1;49;47.12;-8.88;64.13;7.13;-17.01;41.83;-7.17
Verona;38;12;13;13;47;51;-4;49;52.49;5.49;53.95;2.95;-1.46;50.26;1.26
Bologna;38;12;11;15;52;65;-13;47;57.41;5.41;54.87;-10.13;2.54;52.97;5.97
Cagliari;38;11;12;15;52;56;-4;45;41.92;-10.08;60.98;4.98;-19.06;40.05;-4.95
Udinese;38;12;9;17;37;51;-14;45;43.69;6.69;52.54;1.54;-8.85;49.32;4.32
Sampdoria;38;12;6;20;48;65;-17;42;48.92;0.92;56.21;-8.79;-7.29;49.71;7.71
Torino;38;11;7;20;46;68;-22;40;43.49;-2.51;63.49;-4.51;-20;39.04;-0.96
Genoa;38;10;9;19;47;73;-26;39;49.89;2.89;59.51;-13.49;-9.62;46.12;7.12
Lecce;38;9;8;21;52;85;-33;35;53.47;1.47;91.97;6.97;-38.5;34.92;-0.08
Brescia;38;6;7;25;35;79;-44;25;43.25;8.25;78.38;-0.62;-35.13;33.14;8.14
SPAL 2013;38;5;5;28;27;77;-50;20;39.07;12.07;71.97;-5.03;-32.9;30.49;10.49
Liverpool;38;32;3;3;85;33;52;99;75.19;-9.81;39.57;6.57;35.62;74.28;-24.72
Manchester City;38;26;3;9;102;35;67;81;102.21;0.21;37;2;65.21;86.76;5.76
Manchester United;38;18;12;8;66;36;30;66;66.19;0.19;38.06;2.06;28.13;70.99;4.99
Chelsea;38;20;6;12;69;54;15;66;76.23;7.23;41.09;-12.91;35.14;73.49;7.49
Leicester;38;18;8;12;67;41;26;62;61.02;-5.98;47.89;6.89;13.13;61.16;-0.84
Tottenham;38;16;11;11;61;47;14;59;49.02;-11.98;54.13;7.13;-5.11;49.26;-9.74
Wolverhampton Wanderers;38;15;14;9;51;40;11;59;54.22;3.22;37.39;-2.61;16.83;63.82;4.82
Arsenal;38;14;14;10;56;48;8;56;50.82;-5.18;57.25;9.25;-6.43;50.15;-5.85
Sheffield United;38;14;12;12;39;39;0;54;45.81;6.81;52.04;13.04;-6.23;49.34;-4.66
Burnley;38;15;9;14;43;50;-7;54;49.35;6.35;53.84;3.84;-4.49;49.54;-4.46
Southampton;38;15;7;16;51;60;-9;52;56.5;5.5;56.59;-3.41;-0.09;56.87;4.87
Everton;38;13;10;15;44;56;-12;49;53.71;9.71;49.21;-6.79;4.5;55.78;6.78
Newcastle United;38;11;11;16;38;58;-20;44;36.49;-1.51;67.03;9.03;-30.54;31.92;-12.08
