,player_name,teams_played_for,league,games,minutes_played,goals,npg,assists,xG,xA,npxG,xG90,xA90,npxG90,position,shots,key_passes,yellow_cards,red_cards,xGBuildup,xGChain,trID,team0ID,team1ID
0,Pierre-Emerick Aubameyang,Arsenal,EPL,36,2740,22,18,5,23.549966726452112,4.989846890792251,19.74412243440748,0.773539053058646,0.16390008035449,0.6485295690133841,F M S,94,33,0,0,6.483642949722707,26.582426249980927,58864,11,0
1,Sadio Mané,Liverpool,EPL,36,3100,22,22,1,16.762808084487915,5.123734523542225,16.762808084487915,0.4866621701948104,0.1487535829415484,0.4866621701948104,F M S,87,45,2,0,8.485077820718288,28.40134635940194,200512,31,0
2,Mohamed Salah,Liverpool,EPL,38,3274,22,19,8,21.79245018400252,10.468589510768652,19.508943611755967,0.5990594125107596,0.2877742993186251,0.5362873931148555,F S,137,68,1,0,7.865945274010301,31.780298396945,148455,31,0
3,Sergio Agüero,Manchester City,EPL,33,2515,21,19,8,19.9491464830935,5.22924312017858,18.426808904856443,0.713885957645493,0.18712997249148,0.6594086685634513,F S,118,34,3,0,8.100998356938362,28.70022003352642,26399,281,0
4,Jamie Vardy,Leicester,EPL,34,2740,18,14,4,19.11597566306591,5.13733013253659,15.310131333768368,0.6278970108306321,0.1687444204117858,0.5028875255617347,F S,79,32,3,1,1.9056932125240564,20.782562378793955,197838,1003,0
5,Raheem Sterling,Manchester City,EPL,34,2788,17,17,10,15.907645806670187,10.792034206911922,15.907645806670187,0.5135179779771581,0.3483798703809443,0.5135179779771581,F M S,77,66,3,0,12.632533352822064,33.02193847298622,134425,281,0
6,Harry Kane,Tottenham,EPL,28,2437,17,13,4,16.12239446118474,4.562663219869137,13.077755857259037,0.595410546371205,0.1685021295807231,0.4829700562795704,F S,102,30,5,0,4.841164272278547,18.838230532594025,132098,148,0
7,Eden Hazard,Chelsea,EPL,37,2935,16,12,15,12.299005899578331,11.5703900270164,9.254330594092607,0.3771415778405622,0.3547990127534842,0.2837784509261787,F S,93,98,2,0,11.546570284292102,25.32870591431856,50202,631,0
8,Callum Wilson,Bournemouth,EPL,30,2548,14,13,9,16.016500677913427,5.955955449491739,14.494162943214178,0.5657319705699405,0.2103751924859719,0.5119602295483815,F S,65,31,3,0,5.061332296580076,21.33035941049457,123682,989,0
9,Gylfi Sigurdsson,Everton,EPL,38,3150,13,11,6,12.118343196809292,6.791106753051281,8.312648046761751,0.3462383770516941,0.1940316215157508,0.2375042299074786,F M S,86,74,3,0,5.154639239422977,15.667064221575856,90466,29,0
10,Glenn Murray,Brighton,EPL,38,2517,13,9,1,11.541339591145515,1.1180225415155292,8.49666416272521,0.4126819877644403,0.0399769681114015,0.3038139748292685,F S,54,12,5,0,1.3960120500996709,8.42803375609219,45693,1237,0
11,Paul Pogba,Manchester United,EPL,35,3013,13,6,9,15.87753972876817,5.186745170503855,8.265851370058954,0.4742710174540774,0.1549309875026043,0.2469056167624645,M S,105,55,6,0,11.593518570065498,21.12592289596796,122153,985,0
12,Alexandre Lacazette,Arsenal,EPL,35,2498,13,13,8,12.033691215328872,4.100151715800166,12.033691215328872,0.433559731537069,0.147723640681351,0.433559731537069,F S,81,31,2,0,8.813803711906075,22.075838117860258,93720,11,0
13,Raúl Jiménez,Wolverhampton Wanderers,EPL,38,3143,13,11,7,14.273595059290528,6.991126699373126,12.75125745870173,0.4087252800942245,0.2001913467844674,0.365133048451529,F M S,111,42,4,0,4.337959002703428,20.91793861053884,206040,543,0
14,Richarlison,Everton,EPL,35,2702,13,13,1,11.333979241549969,1.9562372555956244,11.333979241549969,0.3775196638562165,0.065159642118285,0.3775196638562165,F M S,82,20,5,1,5.10016942024231,13.40034743025899,378710,29,0
15,Son Heung-Min,Tottenham,EPL,31,2061,12,12,6,8.36306463368237,3.965311402454972,8.36306463368237,0.3651993289817629,0.1731577031639725,0.3651993289817629,F M S,74,33,2,1,6.02678457647562,16.200825087726116,91845,148,0
16,Joshua King,Bournemouth,EPL,35,2987,12,7,3,13.546660237014294,4.257977558299899,8.979647155851126,0.4081685374393325,0.128295272931701,0.2705618493560767,F M S,72,37,3,0,8.407384060323238,19.067666817456484,91059,989,0
17,Roberto Firmino,Liverpool,EPL,34,2631,12,11,6,13.737689750269055,6.344290215522051,12.976520912721751,0.4699323745816096,0.2170224703143232,0.4438946720429334,F M S,75,43,0,0,9.149718433618546,24.34563909471035,131789,31,0
18,Romelu Lukaku,Manchester United,EPL,32,2113,12,12,0,13.105178356170654,2.320214493200183,13.105178356170654,0.5581950080716322,0.0988259840927669,0.5581950080716322,F S,55,21,4,0,5.426005006767809,15.425704501569273,96341,985,0
19,Ayoze Pérez,Newcastle United,EPL,37,2950,12,12,2,8.294692774303257,4.032593822106719,8.294692774303257,0.2530584236228112,0.123028286098171,0.2530584236228112,F M S,55,45,2,0,5.627833100035787,15.605257639661431,246968,762,0
20,Ashley Barnes,Burnley,EPL,37,2379,12,10,2,13.257514169439672,3.640304792672396,11.735213300213218,0.5015453027530772,0.1377164486509103,0.4439551059349262,F S,65,22,8,0,2.0961158219724894,14.351634686812758,63200,1132,0
21,Luka Milivojevic,Crystal Palace,EPL,38,3420,12,2,2,10.491015195380896,3.3903411589562893,2.11819478450343,0.2760793472468656,0.0892195041830602,0.0557419680132481,M,57,59,10,0,8.2986073596403,9.534872663207352,74300,873,0
22,Aleksandar Mitrovic,Fulham,EPL,37,3285,11,10,3,15.452766000293195,2.969133678823709,14.691597103141248,0.4233634520628273,0.0813461281869509,0.4025095096751027,F,131,31,7,0,5.371469743549824,18.897143069654703,51152,931,0
23,Salomón Rondón,Newcastle United,EPL,32,2616,11,11,7,10.635379770770667,3.4131878558546305,10.635379770770667,0.365896093031101,0.1174261877014207,0.365896093031101,F S,89,32,1,0,4.21826634183526,15.463675782084463,80197,762,0
24,Leroy Sané,Manchester City,EPL,31,1866,10,10,10,6.981944473460317,8.101670823991299,6.981944473460317,0.336749733446639,0.3907558275236961,0.336749733446639,F M S,56,40,1,0,10.5583228841424,21.35401276499033,192565,281,0
25,Wilfried Zaha,Crystal Palace,EPL,34,3046,10,10,5,6.490763653069735,5.404334913939238,6.490763653069735,0.1917822484492042,0.1596815962752893,0.1917822484492042,F M,73,54,8,1,7.036865543574095,16.558542707934976,145988,873,0
