,player_name,teams_played_for,league,games,minutes_played,goals,npg,assists,xG,xA,npxG,xG90,xA90,npxG90,position,shots,key_passes,yellow_cards,red_cards,xGBuildup,xGChain,trID,team0ID,team1ID
0,Jamie Vardy,Leicester,EPL,35,3034,23,19,5,18.903537318110462,6.3682975601404905,15.097693115472794,0.5607509421983988,0.1889079698130007,0.4478551023047302,F S,89,32,3,0,1.7243406660854816,21.02660731226206,197838,1003,0
1,Pierre-Emerick Aubameyang,Arsenal,EPL,36,3143,22,20,3,16.352623080834746,4.492486916482449,14.830358987674115,0.4682583764795187,0.1286426415791983,0.4246682497265894,F M S,93,26,3,1,5.339657470583916,19.96428203582764,58864,11,0
2,Danny Ings,Southampton,EPL,38,2836,22,21,2,15.659717170521615,2.8490850934758782,14.137379484251142,0.496958584395961,0.0904152533190511,0.4486474448457696,F M S,93,35,3,0,5.015938125550747,18.48803149908781,134294,180,0
3,Raheem Sterling,Manchester City,EPL,33,2678,20,20,1,19.799906481057405,7.208586284890771,18.27756874635816,0.6654188137771346,0.24226018134435,0.6142573514459425,F M S,100,48,5,0,10.185997404158115,31.4420103430748,134425,281,0
4,Mohamed Salah,Liverpool,EPL,34,2904,19,16,10,20.66331870108843,8.72604252398014,18.37981212884188,0.6403921085048067,0.2704352021894671,0.5696222767203061,F S,132,60,1,0,8.42502685263753,31.37419793009758,148455,31,0
5,Harry Kane,Tottenham,EPL,29,2595,18,16,2,13.29706595093012,3.1170063093304634,11.77476505190134,0.4611699173732989,0.1081042650634842,0.4083733544012025,F,82,27,4,0,3.0513013089075685,16.854615883901715,132098,148,0
6,Sadio Mané,Liverpool,EPL,35,2761,18,18,7,14.577482901513577,7.235693477094173,14.577482901513577,0.475180536449193,0.2358610695177383,0.475180536449193,F M S,77,59,3,0,6.767014004290104,25.07320520281792,200512,31,0
7,Anthony Martial,Manchester United,EPL,32,2672,17,17,6,13.240494780242445,4.618776654824615,12.47932606190443,0.4459747493345134,0.1555725669663979,0.4203365814264216,F S,80,30,1,0,6.357817467302084,20.40956318750977,182877,985,0
8,Marcus Rashford,Manchester United,EPL,31,2673,17,11,7,19.503727605566382,5.457172868773341,13.4144136775285,0.6566911651705852,0.1837431942347926,0.4516637601861448,F M,95,33,3,0,5.906573036685586,20.24479783885181,258923,985,0
9,Raúl Jiménez,Wolverhampton Wanderers,EPL,38,3269,17,13,6,16.51079802401364,7.226940844208002,13.466122614219785,0.4545646442830307,0.1989674750623188,0.3707406042458797,F S,117,48,3,0,5.709532639943063,22.56023951806128,206040,543,0
10,Sergio Agüero,Manchester City,EPL,24,1462,16,14,3,15.557500325143335,2.9202088303864,13.274030677974224,0.9577120583193572,0.179766617465647,0.8171427913937621,F S,76,19,1,0,2.644766173325479,16.878254003822803,26399,281,0
11,Tammy Abraham,Chelsea,EPL,34,2233,15,15,3,18.082801550626755,2.913048159331084,18.082801550626755,0.7288186921434876,0.1174090167218081,0.7288186921434876,F S,88,21,2,0,1.5461508873850107,19.84191975370049,331726,631,0
12,Kevin De Bruyne,Manchester City,EPL,35,2818,14,12,20,8.106427835300565,20.62070693448186,6.58409016020596,0.2588993985724098,0.6585747424071566,0.2102796715466772,M S,100,133,3,0,19.244823712855577,37.79831072688103,88755,281,0
13,Chris Wood,Burnley,EPL,32,2462,14,13,1,17.22620151937008,1.4709960892796516,16.4650327116251,0.6297149215041865,0.0537732120370303,0.6018899041617624,F S,65,22,1,0,2.45541091542691,12.64265088364482,108725,1132,0
14,Gabriel Jesus,Manchester City,EPL,34,2022,14,14,7,21.015201296657324,3.598858255892992,20.2540324293077,0.9353947164684268,0.1601865692533972,0.9015147965567224,F S,101,32,3,0,7.18130973726511,27.65223385766149,363205,281,0
15,Dominic Calvert-Lewin,Everton,EPL,36,2639,13,13,1,16.109842916950583,1.3362248316407204,16.109842916950583,0.5494072991760336,0.0455703807683459,0.5494072991760336,F S,85,15,9,0,3.8967644218355417,17.212499532848597,306024,29,0
16,Richarlison,Everton,EPL,36,3100,13,13,3,9.84296628832817,6.66813437640667,9.84296628832817,0.2857635374030759,0.1935909980247097,0.2857635374030759,F M,89,34,8,0,5.1983064673841,16.459749782457948,378710,29,0
17,Son Heung-Min,Tottenham,EPL,30,2511,11,11,10,9.70170486625284,6.721727088093758,8.940535909496248,0.3477313572133634,0.2409221178528228,0.3204493157525537,F M S,81,41,0,2,6.514012955129147,18.800011694431305,91845,148,0
18,Riyad Mahrez,Manchester City,EPL,33,1938,11,10,9,8.649655679240823,11.05984910018742,7.888486815616488,0.4016867962495738,0.5136152832904375,0.3663383970100536,F M S,74,60,0,0,13.28588094189763,27.76552989333868,171424,281,0
19,Teemu Pukki,Norwich,EPL,36,2908,11,9,3,11.524345129728315,3.6190154179930687,10.002007439732552,0.3566681780177265,0.1120052914784649,0.3095531876120803,F S,80,30,3,0,2.368442302569747,14.751465763896704,46972,1123,0
20,Michail Antonio,West Ham,EPL,24,1767,10,9,3,13.249549170956016,3.921495376154781,12.488380333408712,0.6748497031047207,0.1997366065953199,0.6360804923637715,F M S,68,26,3,0,2.270155580714345,13.959707390516996,104124,379,0
21,Troy Deeney,Watford,EPL,27,2253,10,5,2,11.589193798601627,3.7357030231505632,7.022180713713169,0.4629504846312234,0.1492291487277189,0.2805132109339481,F S,45,29,3,0,3.33459750469774,11.632463542744516,65477,1010,0
22,Alexandre Lacazette,Arsenal,EPL,30,1890,10,10,4,8.66464820317924,3.342290915548801,8.66464820317924,0.4126022953894876,0.1591567102642286,0.4126022953894876,F S,52,24,8,0,2.5056346226483583,12.06130165234208,93720,11,0
23,Neal Maupay,Brighton,EPL,37,2782,10,9,3,13.558543261140583,2.50613137986511,12.036205606535075,0.4386300839333762,0.0810754220660891,0.3893812022243554,F S,96,25,3,0,3.4836169090121984,13.85504301264882,217115,1237,0
24,Mason Greenwood,Manchester United,EPL,31,1304,10,10,1,3.387857362627983,1.4115077937021852,3.387857362627983,0.233824511224324,0.0974200164365005,0.233824511224324,F M S,39,14,0,0,4.284458378329873,8.516980450600386,532826,985,0
25,Roberto Firmino,Liverpool,EPL,38,3035,9,9,8,16.686229031533003,7.346656003966927,16.686229031533003,0.4948140404737958,0.2178580034125283,0.4948140404737958,F M S,98,52,0,0,9.463312279433012,28.271100923419,131789,31,0
