,player_name,teams_played_for,league,games,minutes_played,goals,npg,assists,xG,xA,npxG,xG90,xA90,npxG90,position,shots,key_passes,yellow_cards,red_cards,xGBuildup,xGChain,trID,team0ID,team1ID
0,Harry Kane,Tottenham,EPL,38,3382,25,20,1,22.732073578983545,3.088511780835688,18.926266126334667,0.6049339509487046,0.082189846326201,0.5036558105766173,F,159,44,5,0,8.189033068716526,26.939671490341425,132098,148,0
1,Sergio Agüero,Manchester City,EPL,30,2399,24,20,2,20.077213659882545,2.0287597198039293,16.271369472146034,0.7532093494745432,0.076110202076846,0.6104307013310308,F S,119,27,1,0,3.925958522595465,18.786789989098907,26399,281,0
2,Jamie Vardy,Leicester,EPL,36,3154,24,19,6,22.135407269001007,6.267152491956949,17.56843115389347,0.6316381275238081,0.1788344084578711,0.5013185808022868,F,115,48,5,1,2.8863560035824776,24.5959712676704,197838,1003,0
3,Romelu Lukaku,Everton,EPL,37,3194,18,17,6,20.05878111720085,5.680434506386519,18.53648015856743,0.5652129932836808,0.1600623373746983,0.5223178504292638,F S,118,51,3,0,7.63484107516706,24.02490315958857,96341,29,0
4,Riyad Mahrez,Leicester,EPL,37,3087,17,13,11,11.882148338481784,11.45409781858325,7.315135253593326,0.3464183189061744,0.3339387119120481,0.2132692493758987,M S,86,68,1,0,7.174407683312893,21.18506269901991,171424,1003,0
5,Olivier Giroud,Arsenal,EPL,38,2411,16,15,6,14.503995144739749,5.762218959629536,13.742826307192445,0.5414183173067513,0.2150973481404638,0.5130047149097138,F S,101,36,2,0,6.915774317458272,18.88523508235812,82442,11,0
6,Odion Ighalo,Watford,EPL,37,3160,15,15,3,16.093813683837652,2.23219239152968,16.093813683837652,0.4583681112485407,0.0635750997587566,0.4583681112485407,F M S,109,37,4,0,2.764592749066651,18.00225553661585,62121,1010,0
7,Jermain Defoe,Sunderland,EPL,33,2558,15,14,1,11.712618228048086,1.1022662846371531,10.951449390500784,0.4120936827694791,0.0387818473875464,0.3853129183522559,F M S,85,22,3,0,1.326957743614912,12.26389168575406,3875,289,0
8,Alexis Sánchez,Arsenal,EPL,30,2463,13,13,4,13.104380078613758,8.554748680442572,13.104380078613758,0.4788445826533651,0.3125973939260379,0.4788445826533651,M S,107,62,1,0,11.864847148768604,27.01940755546093,40433,11,0
9,Troy Deeney,Watford,EPL,38,3291,13,7,7,12.199144696816802,7.923331122845411,6.870962786488235,0.3336138021007329,0.2166817991662373,0.1879023551455305,F M S,94,56,6,0,3.990332080051303,15.776730716228483,65477,1010,0
