,player_name,teams_played_for,league,games,minutes_played,goals,npg,assists,xG,xA,npxG,xG90,xA90,npxG90,position,shots,key_passes,yellow_cards,red_cards,xGBuildup,xGChain,trID,team0ID,team1ID
0,Mohamed Salah,Liverpool,EPL,36,2954,32,31,10,25.13650297001004,8.344477602280676,23.6141653098166,0.7658379374749167,0.254232560665288,0.7194566275841212,F M S,143,62,1,0,5.898578152060509,35.301465447992086,148455,31,0
1,Harry Kane,Tottenham,EPL,37,3094,30,28,2,26.859890587627888,3.8204412199556814,24.576384104788303,0.7813154986704944,0.111131127923727,0.7148915867585479,F S,183,34,5,0,7.961634367704391,28.51526607386768,132098,148,0
2,Sergio Agüero,Manchester City,EPL,25,1985,21,17,6,18.56861797720194,6.533229699358344,15.523942567408085,0.8419020745330854,0.2962169636988669,0.7038563380688804,F S,95,39,2,0,7.512718818150461,23.707814872264866,26399,281,0
3,Jamie Vardy,Leicester,EPL,37,3269,20,15,1,15.266967067494988,3.6308264825493097,10.699990747496486,0.4203202924669773,0.0999615733953618,0.2945852454189916,F,70,33,3,0,1.9777417127043009,15.584633570164442,197838,1003,0
4,Raheem Sterling,Manchester City,EPL,33,2594,18,17,11,18.82996733859181,8.844115875661373,18.06879848614335,0.6533142098971717,0.306850589363733,0.6269051132432157,F S,87,55,3,1,12.149656612426044,33.65671702474356,134425,281,0
5,Romelu Lukaku,Manchester United,EPL,34,2869,16,16,7,15.468220829963684,5.473206410184503,14.707051992416382,0.4852352299396066,0.1716934740036965,0.4613575041190221,F S,86,33,4,0,7.161954903975129,24.643031921237707,96341,985,0
6,Roberto Firmino,Liverpool,EPL,37,2814,15,14,7,10.763707412406802,7.67842498794198,10.00253858976066,0.3442550345119446,0.2455786243478245,0.3199106158772066,F M S,84,56,1,0,12.625402934849262,27.837451616302133,131789,31,0
7,Alexandre Lacazette,Arsenal,EPL,32,2235,14,12,4,13.83124102279544,4.839554825797677,12.308903332799671,0.5569627257501519,0.1948814023811145,0.495660536891262,F S,67,36,1,0,6.228630402125418,20.898551642894745,93720,11,0
8,Gabriel Jesus,Manchester City,EPL,29,1692,13,13,3,15.36618898808956,2.307675359770656,13.843851312994955,0.8173504780898703,0.1227486893495029,0.7363750698401573,F S,55,18,6,0,6.5146970227360725,20.56147326901555,363205,281,0
9,Son Heung-Min,Tottenham,EPL,37,2315,12,12,6,11.021603035740554,6.592509059235454,11.021603035740554,0.4284856471778185,0.2562962485231926,0.4284856471778185,F M S,75,38,0,0,6.259736826643348,22.61797249224037,91845,148,0
10,Eden Hazard,Chelsea,EPL,34,2451,12,10,4,8.212463462725282,7.303086698055267,6.690125757828355,0.3015592458773053,0.2681671982150037,0.2456594525518367,F M S,71,84,2,0,9.2949508279562,19.691347554326057,50202,631,0
11,Riyad Mahrez,Leicester,EPL,36,2977,12,12,10,6.61353119648993,7.55104211345315,6.61353119648993,0.1999388000282478,0.2282814209643209,0.1999388000282478,F M S,74,57,2,0,6.466544289141893,15.855960881337523,171424,1003,0
12,Glenn Murray,Brighton,EPL,35,2204,12,8,0,12.380600898526607,1.2383797569200397,7.813587754033506,0.5055599277982735,0.0505690463352103,0.319066650573056,F S,52,16,9,0,1.6577221099287271,8.483370034955442,45693,1237,0
13,Marko Arnautovic,West Ham,EPL,31,2343,11,11,6,9.801481921225786,4.447798945009708,9.801481921225786,0.3764973849382504,0.1708501515368646,0.3764973849382504,F M S,71,34,5,1,2.6873114239424467,13.037374045699837,41384,379,0
14,Álvaro Morata,Chelsea,EPL,31,2069,11,11,6,13.904703490436075,3.5832394156605005,13.904703490436075,0.6048445210919512,0.1558683167759521,0.6048445210919512,F M S,79,36,7,0,2.9470131658017635,17.912706471979618,128223,631,0
15,Pierre-Emerick Aubameyang,Arsenal,EPL,13,1056,10,9,4,9.17437779903412,1.2641484700143335,7.652040150016546,0.781907198781317,0.1077399264216761,0.6521625127855011,F S,31,13,0,0,2.366455566138029,10.671040249988437,58864,11,0
16,Leroy Sané,Manchester City,EPL,32,2421,10,10,15,6.24107522983104,9.04887653980404,6.24107522983104,0.2320102315922319,0.3363894624462469,0.2320102315922319,F M S,56,58,4,0,11.8986874576658,19.683995423838496,192565,281,0
17,Wayne Rooney,Everton,EPL,31,2301,10,7,2,8.905443045310676,2.281340353190899,4.338429889641702,0.3483224137670407,0.0892310438014693,0.1696908692167549,F M S,45,34,5,0,4.465429299511015,8.366078531369567,3332,29,0
18,Christian Eriksen,Tottenham,EPL,37,3239,10,10,10,7.245938941836357,11.893049443140626,7.245938941836357,0.201338223144573,0.3304644797414808,0.201338223144573,M,96,95,0,0,15.511445418931544,27.00611260905862,69633,148,0
19,Sadio Mané,Liverpool,EPL,29,2230,10,10,7,11.518153592944143,5.250221345573664,11.518153592944143,0.4648582167555933,0.2118923413011792,0.4648582167555933,F M S,70,49,3,1,6.351253589615226,21.158787678927183,200512,31,0
20,Chris Wood,Burnley,EPL,24,1639,10,10,1,7.639506213366985,0.6027078554034233,7.639506213366985,0.4194969854807984,0.0330956113400293,0.4194969854807984,F S,40,11,1,0,1.022325236350298,7.594883928075433,108725,1132,0
21,Luka Milivojevic,Crystal Palace,EPL,36,3087,10,3,1,7.874588200822473,1.2642450630664823,1.785385170020163,0.2295798309277688,0.0368584566491685,0.0520520457731826,M S,42,21,8,0,8.064285509288311,8.746629861183465,74300,873,0
22,Alexis Sánchez,"Arsenal,Manchester United",EPL,31,2562,9,8,6,11.422602553851902,7.917655121535063,9.900264878757298,0.4012623847957343,0.2781377677354237,0.3477844805184062,F M S,88,77,5,0,9.066157701425254,22.282545514404774,40433,11,985
23,Wilfried Zaha,Crystal Palace,EPL,29,2551,9,9,3,9.735278444364669,5.296256110072136,9.735278444364669,0.3434633712241552,0.186853410390628,0.3434633712241552,F M S,64,53,5,0,3.00129756052047,16.14480810239911,145988,873,0
24,Anthony Martial,Manchester United,EPL,30,1589,9,8,5,6.301933970302343,5.435461966320872,5.540765132755041,0.3569377327421088,0.3078612819187404,0.3138255896462893,F M S,49,33,1,0,5.228315457701683,13.706218170002105,182877,985,0
25,David Silva,Manchester City,EPL,29,2442,9,9,11,9.241164376959205,8.82798683270812,9.241164376959205,0.3405834536962852,0.3253557800752378,0.3405834536962852,M S,54,61,5,0,18.98137961141765,30.25495454110205,35518,281,0
26,Dele Alli,Tottenham,EPL,36,2991,9,9,10,10.104957189410923,8.836119271814823,10.104957189410923,0.3040608983774601,0.2658812218199044,0.3040608983774601,F M S,69,64,7,0,8.14344278536737,23.885979956015944,207929,148,0
27,Ashley Barnes,Burnley,EPL,36,2143,9,9,0,6.560562789440155,1.5027274526655674,6.560562789440155,0.2755252688052328,0.0631103456555767,0.2755252688052328,F M S,61,17,10,0,1.9067803481593728,8.709057147614658,63200,1132,0
28,Chicharito,West Ham,EPL,28,1524,8,8,0,5.248028546571732,1.422036468051374,5.248028546571732,0.3099229456636849,0.083978531577837,0.3099229456636849,F S,29,21,3,0,1.803986500017345,6.960864821448922,50935,379,0
29,Kevin De Bruyne,Manchester City,EPL,37,3103,8,8,16,5.4017304321751,13.101720079779623,5.4017304321751,0.1566728130505185,0.3800047718917713,0.1566728130505185,M S,93,105,2,0,22.89996365457773,33.50091540813446,88755,281,0
30,Joshua King,Bournemouth,EPL,33,2458,8,6,3,6.555599365383387,4.888207009062171,5.033261656761169,0.2400341508887326,0.1789823559054497,0.1842935513053316,F M S,51,38,3,0,3.6070545027032495,9.640528094954789,91059,989,0
31,Callum Wilson,Bournemouth,EPL,28,2007,8,8,2,7.619610041379929,1.5524410009384155,7.619610041379929,0.3416865489408039,0.0696161883828885,0.3416865489408039,F S,54,18,0,0,2.697103791870177,9.413971451111138,123682,989,0
32,Jesse Lingard,Manchester United,EPL,33,1836,8,8,5,8.048349030315876,3.581981850787997,8.048349030315876,0.3945269132507782,0.1755873456268626,0.3945269132507782,F M S,56,26,2,0,5.560849579051137,13.909841664135456,141660,985,0
33,Oumar Niasse,Everton,EPL,22,1075,8,8,2,7.417298145592213,1.54713324457407,7.417298145592213,0.6209831005612085,0.129527434429457,0.6209831005612085,F S,37,11,2,0,1.3837399259209633,9.197526078671215,209781,29,0
34,Ayoze Pérez,Newcastle United,EPL,36,2502,8,8,5,6.864802069962025,5.451955586671829,6.864802069962025,0.2469353262576268,0.1961135103119363,0.2469353262576268,F M S,60,36,3,0,6.333310326561332,14.1159591935575,246968,762,0
35,Xherdan Shaqiri,Stoke,EPL,36,3066,8,8,7,4.985688297078013,6.87552744615823,4.22451944462955,0.1463509284856559,0.2018256588891848,0.1240074200967578,F M,69,76,5,0,5.910622897557914,11.416415916755795,86792,512,0
36,Pascal Groß,Brighton,EPL,38,2979,7,6,8,3.335027128458023,8.656005831435323,2.573858298361301,0.1007561065999402,0.2615107501944206,0.0777600694368973,F M S,43,81,2,0,5.4259272236377,12.21007040143013,82873,1237,0
37,Philippe Coutinho,Liverpool,EPL,14,1132,7,7,6,3.6399389542639256,4.951587982475758,3.6399389542639256,0.2893944398266372,0.3936774897728076,0.2893944398266372,F M S,54,40,0,0,3.709002366289496,9.052257478237152,80444,31,0
38,Olivier Giroud,"Arsenal,Chelsea",EPL,29,953,7,7,1,7.604713529348373,3.0130643099546432,7.604713529348373,0.7181786124253449,0.2845496200376893,0.7181786124253449,F S,47,20,0,0,1.6444561406970024,10.695791564881802,82442,11,631
39,Aaron Ramsey,Arsenal,EPL,24,1849,7,7,8,6.840767364948988,5.922472320497036,6.840767364948988,0.332974074010497,0.2882760999701099,0.332974074010497,M S,56,28,0,0,11.193582858890297,19.13112424314022,50057,11,0
40,Marcus Rashford,Manchester United,EPL,35,1792,7,7,5,5.530901059508324,4.597065225243568,5.530901059508324,0.2777796291047707,0.2308793918928131,0.2777796291047707,F M S,62,22,3,0,2.578550947830081,10.888660445809364,258923,985,0
41,Jordan Ayew,Swansea,EPL,36,2862,7,6,2,6.851809272542596,1.9186684098094704,6.0906404396519065,0.2154657003944212,0.0603354845852034,0.1915295735739593,F M S,65,16,2,1,1.894832988269627,8.016540210694075,108354,2288,0
42,Salomón Rondón,West Bromwich Albion,EPL,36,2781,7,7,3,6.871560767292976,2.6148639917373657,6.871560767292976,0.2223806073557597,0.0846234301533128,0.2223806073557597,F S,78,23,4,0,3.4010699428617954,10.665166744962336,80197,984,0
43,Jay Rodriguez,West Bromwich Albion,EPL,37,2845,7,6,1,7.642788367345929,1.8346650339663029,6.881619529798627,0.2417753789318571,0.0580386126738022,0.217696224141257,F M S,69,21,2,0,1.5642688274383545,8.146990897133946,53360,984,0
44,Charlie Austin,Southampton,EPL,24,1023,7,6,0,7.720574729144573,0.6937102861702442,6.959405891597271,0.6792294483118393,0.0610302304548601,0.6122644479411089,F S,47,4,2,0,1.2118305014446378,6.5175684886053205,129627,180,0
45,Marcos Alonso,Chelsea,EPL,33,2869,7,7,2,4.369033532217145,3.057155713438988,4.369033532217145,0.1370557747994224,0.0959024099719445,0.1370557747994224,M,65,34,6,0,8.145295701920986,12.986705735325812,112515,631,0
46,Abdoulaye Doucouré,Watford,EPL,37,3326,7,7,3,3.106085399165749,2.393647343851626,3.106085399165749,0.0840492140483816,0.0647709744277349,0.0840492140483816,M,46,40,10,0,7.35497585311532,11.492404110729694,127187,1010,0
47,Steve Mounie,Huddersfield,EPL,28,1850,7,7,1,5.80149868875742,1.6073057148605585,5.80149868875742,0.2822350713449555,0.0781932509932163,0.2822350713449555,F S,49,16,2,0,1.809567122720182,7.001166325062513,238639,1110,0
48,Willian,Chelsea,EPL,36,1872,6,5,7,5.983236312866211,6.169512925669551,5.222104266285896,0.2876555919647217,0.2966111983494976,0.2510627051098988,F M S,54,62,1,0,5.100902387872338,12.889175640419126,52769,631,0
49,Dwight Gayle,Newcastle United,EPL,35,1968,6,6,3,9.672671845182776,2.3920687939971685,9.672671845182776,0.4423477977979928,0.1093933899693827,0.4423477977979928,F S,57,21,3,0,1.8391507137566805,11.06782172061503,196522,762,0
50,Shinji Okazaki,Leicester,EPL,27,1340,6,6,2,7.492760078981519,1.8460093941539528,7.492760078981519,0.5032450799315945,0.1239857055775042,0.5032450799315945,F M S,28,15,2,0,1.1135968547314403,8.057245753705502,79642,1003,0
51,Dusan Tadic,Southampton,EPL,36,2854,6,5,3,5.660930041223764,6.163578130304813,4.899761218577623,0.1785156635284298,0.1943665142702989,0.1545124420714737,F M S,40,59,4,0,4.3436110727489,14.321497920900583,36139,180,0
52,Mame Biram Diouf,Stoke,EPL,35,2609,6,6,2,7.491201035678387,2.11507977033034,7.491201035678387,0.2584162871640685,0.0729617398734115,0.2584162871640685,F M S,58,20,6,0,1.5370230674743652,8.712970631197095,62049,512,0
53,Paul Pogba,Manchester United,EPL,27,2158,6,6,10,7.813678246922791,4.590671516954899,7.813678246922791,0.3258716599736104,0.191455253255765,0.3258716599736104,M S,76,39,5,1,8.208943894132972,16.820827029645443,122153,985,0
54,Bernardo Silva,Manchester City,EPL,35,1500,6,6,4,4.5274060908705,3.0583887062966824,4.5274060908705,0.27164436545223,0.1835033223778009,0.27164436545223,F S,25,30,0,0,9.751076772809029,15.460781294852495,241641,281,0
55,Laurent Depoitre,Huddersfield,EPL,33,1794,6,6,1,3.591188936494291,1.3660858180373907,3.591188936494291,0.1801599800916868,0.0685327333463574,0.1801599800916868,F S,24,13,1,0,1.0141412885859609,4.533495036885142,90583,1110,0
56,Eric Maxim Choupo-Moting,Stoke,EPL,30,2257,5,5,5,6.289976932108402,3.226308550685644,6.289976932108402,0.2508187522772513,0.1286520910774071,0.2508187522772513,F M S,60,20,3,0,2.2019113171845675,9.28493205551058,45660,512,0
57,Junior Stanislas,Bournemouth,EPL,19,1313,5,4,2,3.831800527870655,1.9147691372781992,3.070631690323353,0.2626519783003495,0.1312484557159466,0.210477419747983,F M S,44,23,1,0,1.8925352990627289,5.264173872768879,87672,989,0
58,Nacho Monreal,Arsenal,EPL,28,2246,5,5,2,1.9025151077657936,3.0137278269976377,1.9025151077657936,0.0762361352176854,0.1207638042875277,0.0762361352176854,D S,21,13,3,0,8.551960686221719,10.20766700990498,43003,11,0
59,Danny Welbeck,Arsenal,EPL,28,1169,5,5,2,5.722649244591594,1.3699026852846146,5.722649244591594,0.44058035244931,0.1054672726053167,0.44058035244931,F M S,32,13,1,0,2.5617743469774723,8.678983869031072,67063,11,0
60,Manuel Lanzini,West Ham,EPL,27,2054,5,5,6,3.833089454099536,3.734414921142161,3.071920631453395,0.1679542604035823,0.1636306440617305,0.1346021698299929,F M S,44,41,4,0,5.11701469309628,9.272790788672864,135853,379,0
61,Troy Deeney,Watford,EPL,29,1832,5,2,2,7.1495265662670135,2.3760475926101208,3.343682344071567,0.3512322003078773,0.116727228894602,0.1642638706148695,F S,36,26,1,1,2.765413555316627,7.171732102520764,65477,1010,0
62,Fernandinho,Manchester City,EPL,34,2890,5,5,3,2.466341163031757,2.8430620953440666,2.466341163031757,0.0768064722051412,0.0885382659449709,0.0768064722051412,M S,47,21,7,0,22.23768274858594,25.39007394015789,26267,281,0
63,James McArthur,Crystal Palace,EPL,33,2440,5,5,1,4.228801898658276,2.0599370086565614,4.228801898658276,0.1559803979013298,0.0759812831061846,0.1559803979013298,M S,30,20,5,0,6.216755921021104,10.530749277211726,41416,873,0
